VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,mta_tax,tolls_amount,improvement_surcharge,tip_amount
2,1,17.63,2,1,132,164,1,70,0.5,6.94,1,16.54
2,1,19.52,2,1,132,236,1,70,0.5,6.94,1,16.19
2,1,17.81,2,1,132,48,1,70,0.5,6.94,1,12
2,2,19.3,2,1,132,148,1,70,0.5,0,1,5
2,1,18.75,2,1,132,234,1,70,0.5,6.94,1,10
2,1,18.9,2,1,132,211,1,70,0.5,0,1,8
2,1,19.37,2,1,132,158,1,70,0.5,0,1,7.58
2,3,17.35,2,1,132,161,1,70,0.5,6.94,1,16.19
2,1,17.03,2,1,132,170,1,70,0.5,6.94,1,16.19
2,1,20.42,2,1,132,141,1,70,0.5,6.94,1,20.23
2,1,17.67,2,1,132,48,1,70,0.5,6.94,1,16.54
2,1,18.41,2,1,132,48,1,70,0.5,6.94,1,16.54
2,2,17.4,2,1,132,100,1,70,0.5,6.94,1,10
2,1,18.88,2,1,132,262,1,70,0.5,6.94,1,8.09
2,1,17.41,2,1,132,68,1,70,0.5,6.94,1,16.54
2,1,17.09,2,1,132,164,1,70,0.5,6.94,1,10
2,1,18.56,2,1,132,113,1,70,0.5,6.94,1,16.54
2,5,17.75,2,1,132,164,1,70,0.5,6.94,1,10
2,1,17.33,2,1,132,137,1,70,0.5,6.94,1,16.54
2,1,18.83,2,1,132,231,1,70,0.5,0,1,14.8
2,4,16.89,2,1,132,161,1,70,0.5,6.94,1,20.23
2,2,20.25,2,1,132,238,1,70,0.5,6.94,1,7.31
2,1,18.89,2,1,132,143,1,70,0.5,0,1,10
2,2,22.16,2,1,132,142,1,70,0.5,6.94,1,4.13
2,1,19.58,2,1,132,90,1,70,0.5,6.94,1,20
2,3,17.89,2,1,132,224,1,70,0.5,6.94,1,16.19
2,1,18.14,2,1,132,229,1,70,0.5,6.94,1,16.19
2,2,23.09,2,1,132,234,1,70,0.5,6.94,1,16.54
2,1,17.52,2,1,132,148,1,70,0.5,0,1,14.8
2,2,17.17,2,1,132,229,1,70,0.5,6.94,1,16.19
2,1,18,2,1,132,137,1,70,0.5,6.94,1,16.19
2,1,16.48,2,1,132,164,1,70,0.5,6.94,1,20.67
2,1,17.76,2,1,132,224,1,70,0.5,6.94,1,16.19
2,1,17.59,2,1,132,114,1,70,0.5,6.94,1,12.4
2,2,24.89,2,1,132,87,1,70,0.5,0,1,14.8
2,1,19.51,2,1,132,239,1,70,0.5,0,1,15.15
2,1,18.53,2,1,132,48,1,70,0.5,6.94,1,16.19
2,1,19.26,2,1,132,262,1,70,0.5,6.94,1,16.19
2,2,17.31,2,1,132,161,1,70,0.5,6.94,1,5
2,2,17.54,2,1,132,230,1,70,0.5,6.94,1,10
2,1,19.15,2,1,132,113,1,70,0.5,6.94,1,24.28
2,1,18.26,2,1,132,68,1,70,0.5,6.94,1,16.19
2,1,18.18,2,1,132,186,1,70,0.5,6.94,1,7.31
2,1,17.6,2,1,132,164,1,70,0.5,6.94,1,8
2,2,18.79,2,1,132,231,1,70,0.5,0,1,7
2,1,19.38,2,1,132,50,1,70,0.5,6.94,1,16.54
2,2,17.75,2,1,132,230,1,70,0.5,6.94,1,16.19
2,2,17.96,2,1,132,231,1,70,0.5,0,1,14.8
2,4,28.72,2,1,132,249,1,70,0.5,6.94,1,16.19
2,1,18,2,1,132,164,1,70,0.5,6.94,1,10
2,2,18.98,2,1,132,262,1,70,0.5,6.94,1,3
2,1,17.27,2,1,132,137,1,70,0.5,6.94,1,20.23
2,1,20.05,2,1,132,90,1,70,0.5,6.94,1,16.19
2,1,16.24,2,1,132,162,1,70,0.5,0,1,14.8
2,1,29.24,2,1,132,88,1,70,0.5,0,1,14.8
2,1,19.52,2,1,132,234,1,70,0.5,6.94,1,16.19
2,1,26.47,2,1,132,164,1,70,0.5,6.94,1,20.23
2,1,18.68,2,1,132,114,1,70,0.5,6.94,1,5
2,3,17.19,2,1,132,164,1,70,0.5,6.94,1,10
2,1,21.43,2,1,132,166,1,70,0.5,0,1,14.8
2,1,19.6,2,1,132,142,1,70,0.5,6.94,1,16.19
2,1,20.41,2,1,132,237,1,70,0.5,6.94,1,16.19
2,1,18.25,2,1,132,164,1,70,0.5,6.94,1,5
2,1,18.17,2,1,132,48,1,70,0.5,6.94,1,16.19
2,1,33.13,2,1,132,231,1,70,0.5,0,1,14.8
2,1,18.46,2,1,132,114,1,70,0.5,6.94,1,16.19
2,1,16.73,2,1,132,246,1,70,0.5,6.94,1,16.19
2,5,19.24,2,1,132,87,1,70,0.5,0,1,15.15
2,1,18.24,2,1,132,230,1,70,0.5,6.94,1,15
2,2,15.79,2,1,132,87,1,70,0.5,0,1,14.8
2,1,18.59,2,1,132,143,1,70,0.5,0,1,14.8
2,2,18.44,2,1,132,233,1,70,0.5,0,1,15
2,1,18.86,2,1,132,211,1,70,0.5,0,1,14.8
2,1,19.61,2,1,132,239,1,70,0.5,6.94,1,5
2,1,17.97,2,1,132,170,1,70,0.5,0,1,5
2,3,17.78,2,1,132,107,1,70,0.5,6.94,1,10
2,4,17.8,2,1,132,164,1,70,0.5,6.94,1,16.19
2,1,18.39,2,1,132,163,1,70,0.5,6.94,1,16.54
2,2,18.88,2,1,132,79,1,70,0.5,6.94,1,10.5
2,4,16.65,2,1,132,170,1,70,0.5,6.94,1,13
2,1,16.72,2,1,132,229,1,70,0.5,0,1,8
2,2,21.14,2,1,132,143,1,70,0.5,0,1,15.15
2,2,19.86,2,1,132,140,1,70,0.5,6.94,1,10
2,1,17.21,2,1,132,107,1,70,0.5,6.94,1,16.54
2,1,17.28,2,1,132,141,1,70,0.5,0,1,14.8
2,1,18.52,2,1,132,163,1,70,0.5,6.94,1,16.19
2,2,18.84,2,1,132,48,1,70,0.5,6.94,1,2
2,1,18.04,2,1,132,4,1,70,0.5,0,1,10
2,1,18.26,2,1,132,141,1,70,0.5,6.94,1,16.19
2,1,18.46,2,1,132,148,1,70,0.5,6.94,1,5
2,1,20.06,2,1,132,239,1,70,0.5,6.94,1,8.27
2,2,30.2,2,1,132,151,1,70,0.5,6.94,1,16.19
2,2,19.62,2,1,132,142,1,70,0.5,6.94,1,16.19
2,1,19.18,2,1,132,48,1,70,0.5,6.94,1,16.19
2,1,19.21,2,1,132,232,1,70,0.5,6.94,1,16.19
2,1,19.99,2,1,132,209,1,70,0.5,0,1,10
2,1,18.59,2,1,132,107,1,70,0.5,6.94,1,8.27
2,1,17.11,2,1,132,107,1,70,0.5,6.94,1,16.54
2,1,19.22,2,1,132,140,1,70,0.5,6.94,1,16.19
2,1,28.7,2,1,132,261,1,70,0.5,6.94,1,12.4
2,1,17.04,2,1,132,170,1,70,0.5,6.94,1,16.19
2,1,19.12,2,1,132,263,1,70,0.5,6.94,1,16.54
2,4,18.92,2,1,132,224,1,70,0.5,0,1,22.72
2,2,18.47,2,1,132,90,1,70,0.5,6.94,1,16.54
2,2,17.95,2,1,132,230,1,70,0.5,6.94,1,16.19
2,1,17.42,2,1,132,90,1,70,0.5,6.94,1,12.5
2,2,22.49,2,1,132,142,1,70,0.5,6.94,1,16.19
2,1,18.75,2,1,132,239,1,70,0.5,0,1,14.8
2,1,17.56,2,1,132,148,1,70,0.5,0,1,10
2,3,16.86,5,1,132,90,1,80,0,6.94,1,5
2,1,18.23,2,1,132,237,1,70,0.5,6.94,1,16.19
2,1,20.08,2,1,132,236,1,70,0.5,6.94,1,16.54
2,1,18.6,2,1,132,41,1,70,0.5,6.94,1,16.19
2,1,18.16,2,1,132,186,1,70,0.5,6.94,1,16.19
2,1,18.14,2,1,132,48,1,70,0.5,6.94,1,20.23
2,2,18.29,2,1,132,45,1,70,0.5,0,1,14.8
2,1,18.76,2,1,132,143,1,70,0.5,0,1,14.8
2,2,17.49,2,1,132,144,1,70,0.5,0,1,18.5
2,1,18.41,2,1,132,143,1,70,0.5,0,1,10
2,1,27.93,2,1,132,13,1,70,0.5,0,1,7.58
2,1,18.78,2,1,132,68,1,70,0.5,6.94,1,16.19
2,2,19.06,2,1,132,113,1,70,0.5,6.94,1,16.19
2,3,18.41,2,1,132,161,1,70,0.5,6.94,1,16.19
2,2,18.36,2,1,132,79,1,70,0.5,6.94,1,16.54
2,1,17.61,2,1,132,140,1,70,0.5,0,1,8
2,1,18.61,2,1,132,90,1,70,0.5,6.94,1,16.19
2,1,17.31,2,1,132,161,1,70,0.5,6.94,1,16.19
2,1,19.4,2,1,132,263,1,70,0.5,6.94,1,12.4
2,5,21.04,2,1,132,87,1,70,0.5,6.94,1,16.54
2,1,16.5,2,1,132,162,1,70,0.5,6.94,1,16.19
2,2,17.44,2,1,132,161,1,70,0.5,0,1,14.8
2,1,17.02,2,1,132,68,1,70,0.5,6.94,1,16.19
2,1,27.23,2,1,132,166,1,70,0.5,6.94,1,16.19
2,2,18.75,2,1,132,163,1,70,0.5,6.94,1,16.19
2,4,16.9,5,1,132,48,1,80,0,6.94,1,8
2,1,23.47,2,1,132,231,1,70,0.5,6.94,1,5
2,1,15.91,2,1,132,13,1,70,0.5,0,1,15
2,2,18.63,2,1,132,50,1,70,0.5,6.94,1,16.54
2,1,18.06,2,1,132,224,1,70,0.5,6.94,1,16.19
2,1,21.18,2,1,132,209,1,70,0.5,6.94,1,16.19
2,2,16.76,2,1,132,100,1,70,0.5,6.94,1,16.19
2,1,17.53,2,1,132,234,1,70,0.5,6.94,1,5
2,2,27.57,2,1,132,88,1,70,0.5,6.94,1,16.19
2,2,25.54,2,1,132,143,1,70,0.5,6.94,1,10
2,1,21.64,2,1,132,141,1,70,0.5,6.94,1,20.23
2,2,18.62,2,1,132,13,1,70,0.5,0,1,5
2,1,17.48,2,1,132,229,1,70,0.5,6.94,1,15
2,1,21.24,2,1,132,142,1,70,0.5,6.94,1,16.54
2,1,15.78,2,1,132,164,1,70,0.5,6.94,1,16.19
2,3,18.79,2,1,132,158,1,70,0.5,16.94,1,18.19
2,1,19.74,2,1,132,238,1,70,0.5,6.94,1,16.19
2,1,20.58,2,1,132,238,1,70,0.5,6.94,1,20.23
2,1,20.59,2,1,132,238,1,70,0.5,6.94,1,16.19
2,1,18.15,2,1,132,90,1,70,0.5,6.94,1,24.28
2,1,18.23,2,1,132,142,1,70,0.5,0,1,14.8
2,1,16.67,2,1,132,164,1,70,0.5,6.94,1,16.19
2,2,17.27,2,1,132,50,1,70,0.5,6.94,1,16.19
2,2,20.52,2,1,132,239,1,70,0.5,6.94,1,5
2,1,16.84,2,1,132,164,1,70,0.5,6.94,1,16.19
2,3,17.67,2,1,132,100,1,70,0.5,6.94,1,16.19
2,2,16.28,2,1,132,162,1,70,0.5,6.94,1,16.19
2,1,18.54,5,1,132,230,1,87,0,6.94,1,19.49
2,2,16.89,2,1,132,230,1,70,0.5,6.94,1,5
2,4,17.81,2,1,132,48,1,70,0.5,6.94,1,16.19
2,1,17.53,2,1,132,161,1,70,0.5,6.94,1,8.5
2,4,19.45,2,1,132,238,1,70,0.5,6.94,1,8
2,2,22.2,2,1,132,238,1,70,0.5,6.94,1,8.27
2,2,22.12,1,1,132,79,1,84.9,0.5,0,1,17.78
2,2,18.56,2,1,132,43,1,70,0.5,6.94,1,7
2,2,10.07,1,1,132,72,1,40.1,0.5,0,1,8.82
2,1,7.43,4,1,132,265,1,33.1,0.5,0,1,7.42
2,1,23.08,2,1,132,13,1,70,0.5,6.94,1,14
2,1,13.3,1,1,132,189,1,57.6,0.5,0,1,12.32
2,1,18.87,2,1,132,68,1,70,0.5,6.94,1,24.28
2,1,17.69,2,1,132,4,1,70,0.5,0,1,10
2,2,16.44,2,1,132,164,1,70,0.5,6.94,1,16.19
2,2,17.98,2,1,132,161,1,70,0.5,6.94,1,16.19
2,1,18.66,2,1,132,246,1,70,0.5,6.94,1,16.54
2,1,18.42,2,1,132,262,1,70,0.5,6.94,1,10
2,1,17.25,2,1,132,170,1,70,0.5,6.94,1,16.19
2,2,17.98,2,1,132,143,1,70,0.5,0,1,14.8
2,1,17.72,2,1,132,246,1,70,0.5,6.94,1,8
2,2,18.49,2,1,132,163,1,70,0.5,6.94,1,16.54
2,3,21.62,2,1,132,231,1,70,0.5,6.94,1,16.19
2,1,18.36,2,1,132,43,1,70,0.5,6.94,1,16.54
2,1,16.74,2,1,132,233,1,70,0.5,6.94,1,16.19
